ImageNum, Sigma, DictSize, Iter, PSNR(db), Time, Method
2, 20, 64, 3, 29.86, 327.82, PALM
2, 20, 64, 4, 29.86, 325.59, PALM
2, 20, 64, 5, 29.86, 317.06, PALM
2, 20, 64, 6, 29.86, 314.99, PALM
2, 20, 64, 7, 29.86, 305.72, PALM
2, 20, 64, 8, 29.86, 290.87, PALM
2, 20, 128, 0, 22.09, 0, PALM
2, 20, 128, 1, 29.84, 1443.67, PALM
2, 20, 128, 2, 29.84, 513.84, PALM
2, 20, 128, 3, 29.84, 492.75, PALM
2, 20, 128, 4, 29.84, 455.21, PALM
2, 20, 128, 5, 29.84, 450.43, PALM
2, 20, 128, 6, 29.84, 454.11, PALM
2, 20, 128, 7, 29.84, 463.46, PALM
2, 20, 128, 8, 29.84, 458.12, PALM
2, 20, 256, 0, 22.09, 0, PALM
2, 20, 256, 1, 29.89, 432.06, PALM
2, 20, 256, 2, 29.89, 473.37, PALM
2, 20, 256, 3, 29.89, 468.72, PALM
2, 20, 256, 4, 29.89, 471.16, PALM
2, 20, 256, 5, 29.89, 469.43, PALM
2, 20, 256, 6, 29.89, 474.47, PALM
2, 20, 256, 7, 29.89, 480.76, PALM
2, 20, 256, 8, 29.89, 476.52, PALM
2, 50, 64, 0, 14.15, 0, PALM
2, 50, 64, 1, 25.50, 296.47, PALM
2, 50, 64, 2, 25.50, 222.27, PALM
2, 50, 64, 3, 25.50, 222.06, PALM
2, 50, 64, 4, 25.50, 216.15, PALM
2, 50, 64, 5, 25.50, 205.68, PALM
2, 50, 64, 6, 25.50, 202.91, PALM
2, 50, 64, 7, 25.50, 206.67, PALM
2, 50, 64, 8, 25.50, 195.35, PALM
2, 50, 128, 0, 14.15, 0, PALM
2, 50, 128, 1, 25.56, 1204.54, PALM
2, 50, 128, 2, 25.56, 393.05, PALM
2, 50, 128, 3, 25.56, 368.99, PALM
2, 50, 128, 4, 25.56, 362.30, PALM
2, 50, 128, 5, 25.56, 365.98, PALM
2, 50, 128, 6, 25.56, 370.52, PALM
2, 50, 128, 7, 25.56, 374.80, PALM
2, 50, 128, 8, 25.56, 377.70, PALM
2, 50, 256, 0, 14.15, 0, PALM
2, 50, 256, 1, 25.55, 339.83, PALM
2, 50, 256, 2, 25.55, 376.52, PALM
2, 50, 256, 3, 25.55, 373.91, PALM
2, 50, 256, 4, 25.55, 373.56, PALM
2, 50, 256, 5, 25.55, 375.03, PALM
2, 50, 256, 6, 25.55, 372.93, PALM
2, 50, 256, 7, 25.55, 372.58, PALM
2, 50, 256, 8, 25.55, 376.23, PALM
