ImageNum, Sigma, DictSize, Iter, PSNR(db), Time, Method
2, 20, 64, 3, 29.82, 242.42, OMP
2, 20, 64, 4, 29.82, 237.46, OMP
2, 20, 64, 5, 29.82, 235.90, OMP
2, 20, 64, 6, 29.82, 232.31, OMP
2, 20, 64, 7, 29.82, 237.87, OMP
2, 20, 64, 8, 29.82, 239.06, OMP
2, 20, 128, 0, 22.08, 0, OMP
2, 20, 128, 1, 29.81, 99.42, OMP
2, 20, 128, 2, 29.81, 246.72, OMP
2, 20, 128, 3, 29.81, 236.95, OMP
2, 20, 128, 4, 29.81, 248.98, OMP
2, 20, 128, 5, 29.81, 244.11, OMP
2, 20, 128, 6, 29.81, 238.01, OMP
2, 20, 128, 7, 29.81, 229.60, OMP
2, 20, 128, 8, 29.81, 225.97, OMP
2, 20, 256, 0, 22.08, 0, OMP
2, 20, 256, 1, 29.87, 142.16, OMP
2, 20, 256, 2, 29.87, 237.83, OMP
2, 20, 256, 3, 29.87, 230.26, OMP
2, 20, 256, 4, 29.87, 235.01, OMP
2, 20, 256, 5, 29.87, 236.28, OMP
2, 20, 256, 6, 29.87, 228.90, OMP
2, 20, 256, 7, 29.87, 249.57, OMP
2, 20, 256, 8, 29.87, 235.69, OMP
2, 50, 64, 0, 14.16, 0, OMP
2, 50, 64, 1, 25.45, 75.08, OMP
2, 50, 64, 2, 25.45, 243.85, OMP
2, 50, 64, 3, 25.45, 240.20, OMP
2, 50, 64, 4, 25.45, 241.53, OMP
2, 50, 64, 5, 25.45, 241.16, OMP
2, 50, 64, 6, 25.45, 238.37, OMP
2, 50, 64, 7, 25.45, 242.06, OMP
2, 50, 64, 8, 25.45, 241.51, OMP
2, 50, 128, 0, 14.16, 0, OMP
2, 50, 128, 1, 25.54, 99.59, OMP
2, 50, 128, 2, 25.54, 254.46, OMP
2, 50, 128, 3, 25.54, 246.16, OMP
2, 50, 128, 4, 25.54, 247.43, OMP
2, 50, 128, 5, 25.54, 238.18, OMP
2, 50, 128, 6, 25.54, 246.88, OMP
2, 50, 128, 7, 25.54, 231.00, OMP
2, 50, 128, 8, 25.54, 234.35, OMP
2, 50, 256, 0, 14.16, 0, OMP
2, 50, 256, 1, 25.55, 134.83, OMP
2, 50, 256, 2, 25.55, 237.43, OMP
2, 50, 256, 3, 25.55, 231.88, OMP
2, 50, 256, 4, 25.55, 221.26, OMP
2, 50, 256, 5, 25.55, 236.70, OMP
2, 50, 256, 6, 25.55, 245.91, OMP
2, 50, 256, 7, 25.55, 250.15, OMP
2, 50, 256, 8, 25.55, 232.00, OMP
