ImageNum, Sigma, DictSize, Iter, PSNR(db), Time, Method
2, 20, 64, 8, 29.84, 67.02, MP
2, 20, 128, 0, 22.09, 0, MP
2, 20, 128, 1, 29.91, 84.33, MP
2, 20, 128, 2, 29.91, 83.86, MP
2, 20, 128, 3, 29.92, 84.20, MP
2, 20, 128, 4, 29.92, 84.34, MP
2, 20, 128, 5, 29.92, 80.81, MP
2, 20, 128, 6, 29.92, 69.65, MP
2, 20, 128, 7, 29.92, 80.95, MP
2, 20, 128, 8, 29.92, 84.67, MP
2, 20, 256, 0, 22.09, 0, MP
2, 20, 256, 1, 29.91, 90.99, MP
2, 20, 256, 2, 29.91, 91.71, MP
2, 20, 256, 3, 29.91, 88.49, MP
2, 20, 256, 4, 29.91, 88.34, MP
2, 20, 256, 5, 29.91, 91.63, MP
2, 20, 256, 6, 29.91, 84.53, MP
2, 20, 256, 7, 29.91, 89.35, MP
2, 20, 256, 8, 29.91, 90.63, MP
2, 50, 64, 0, 14.15, 0, MP
2, 50, 64, 1, 25.49, 81.05, MP
2, 50, 64, 2, 25.48, 58.40, MP
2, 50, 64, 3, 25.47, 77.20, MP
2, 50, 64, 4, 25.47, 78.59, MP
2, 50, 64, 5, 25.46, 71.98, MP
2, 50, 64, 6, 25.46, 67.89, MP
2, 50, 64, 7, 25.46, 66.37, MP
2, 50, 64, 8, 25.45, 68.21, MP
2, 50, 128, 0, 14.15, 0, MP
2, 50, 128, 1, 25.57, 81.09, MP
2, 50, 128, 2, 25.57, 61.86, MP
2, 50, 128, 3, 25.56, 81.21, MP
2, 50, 128, 4, 25.56, 80.91, MP
2, 50, 128, 5, 25.56, 62.49, MP
2, 50, 128, 6, 25.56, 59.58, MP
2, 50, 128, 7, 25.56, 61.95, MP
2, 50, 128, 8, 25.56, 76.86, MP
2, 50, 256, 0, 14.15, 0, MP
2, 50, 256, 1, 25.56, 66.14, MP
2, 50, 256, 2, 25.56, 66.07, MP
2, 50, 256, 3, 25.56, 74.26, MP
2, 50, 256, 4, 25.56, 65.59, MP
2, 50, 256, 5, 25.56, 65.51, MP
2, 50, 256, 6, 25.56, 76.00, MP
2, 50, 256, 7, 25.56, 65.73, MP
2, 50, 256, 8, 25.56, 78.17, MP
